run,	wetted surf,	change w.r.t. 0 heel/0leeway, change w.r.t. calm water value



FS_1_126_0, 3285.84, 0.0, -5.395
FS_1_126_3, 3286.193, 0.353, -5.042
FS_1_126_4, 3286.526, 0.685, -4.709
FS_1_126_5, 3286.89, 1.05, -4.345
FS_1_126_6, 3287.14, 1.3, -4.095
FS_1_126_7, 3287.365, 1.525, -3.87
FS_1_126_9, 3287.987, 2.147, -3.248
FS_1_168_0, 3280.458, 0.0, -10.777
FS_1_168_3, 3282.674, 2.216, -8.561
FS_1_168_4, 3283.276, 2.819, -7.959
FS_1_168_5, 3283.025, 2.568, -8.21
FS_1_168_6, 3283.525, 3.067, -7.71
FS_1_168_7, 3284.206, 3.748, -7.029
FS_1_168_9, 3284.677, 4.22, -6.558
FS_1_210_0, 3276.073, 0.0, -15.161
FS_1_210_3, 3279.142, 3.069, -12.092
FS_1_210_4, 3281.285, 5.212, -9.95
FS_1_210_5, 3280.978, 4.904, -10.257
FS_1_210_6, 3280.868, 4.795, -10.367
FS_1_210_7, 3282.85, 6.777, -8.384
FS_1_210_9, 3282.558, 6.485, -8.677
FS_1_h10_126_0, 3294.724, 8.884, 3.489
FS_1_h10_126_3, 3295.014, 9.174, 3.779
FS_1_h10_126_4, 3295.233, 9.393, 3.998
FS_1_h10_126_5, 3295.562, 9.722, 4.327
FS_1_h10_126_6, 3295.935, 10.095, 4.7
FS_1_h10_126_7, 3296.288, 10.448, 5.053
FS_1_h10_126_9, 3297.058, 11.217, 5.823
FS_1_h10_168_0, 3289.454, 8.997, -1.781
FS_1_h10_168_3, 3289.082, 8.624, -2.153
FS_1_h10_168_4, 3289.984, 9.526, -1.251
FS_1_h10_168_5, 3291.071, 10.614, -0.163
FS_1_h10_168_6, 3290.925, 10.468, -0.31
FS_1_h10_168_7, 3292.346, 11.888, 1.111
FS_1_h10_168_9, 3294.589, 14.132, 3.354
FS_1_h10_210_0, 3287.225, 11.152, -4.01
FS_1_h10_210_3, 3287.376, 11.302, -3.859
FS_1_h10_210_4, 3289.807, 13.733, -1.428
FS_1_h10_210_5, 3289.259, 13.186, -1.975
FS_1_h10_210_6, 3291.132, 15.058, -0.103
FS_1_h10_210_7, 3289.778, 13.705, -1.456
FS_1_h10_210_9, 3291.488, 15.414, 0.253
FS_1_h20_126_0, 3327.546, 41.706, 36.311
FS_1_h20_126_3, 3327.801, 41.961, 36.566
FS_1_h20_126_4, 3327.976, 42.136, 36.742
FS_1_h20_126_5, 3328.346, 42.506, 37.111
FS_1_h20_126_6, 3328.846, 43.006, 37.611
FS_1_h20_126_7, 3329.299, 43.458, 38.064
FS_1_h20_126_9, 3329.988, 44.148, 38.753
FS_1_h20_168_0, 3320.51, 40.052, 29.275
FS_1_h20_168_3, 3322.896, 42.438, 31.661
FS_1_h20_168_4, 3323.732, 43.275, 32.497
FS_1_h20_168_5, 3325.097, 44.64, 33.862
FS_1_h20_168_6, 3325.281, 44.824, 34.047
FS_1_h20_168_7, 3326.628, 46.17, 35.393
FS_1_h20_168_9, 3327.308, 46.851, 36.073
FS_1_h20_210_0, 3317.674, 41.601, 26.439
FS_1_h20_210_3, 3319.07, 42.997, 27.835
