Hull, Froude Number, Leeway angle, Heel angle, sumSx,	100 sections
 , , , , ,	68.31, 66.93, 65.55, 64.17, 62.79, 61.41, 60.03, 58.65, 57.27, 55.89, 54.51, 53.13, 51.75, 50.37, 48.99, 47.61, 46.23, 44.85, 43.47, 42.09, 40.71, 39.33, 37.95, 36.57, 35.19, 33.81, 32.43, 31.05, 29.67, 28.29, 26.91, 25.53, 24.15, 22.77, 21.39, 20.01, 18.63, 17.25, 15.87, 14.49, 13.11, 11.73, 10.35, 8.97, 7.59, 6.21, 4.83, 3.45, 2.07, 0.69, -0.69, -2.07, -3.45, -4.83, -6.21, -7.59, -8.97, -10.35, -11.73, -13.11, -14.49, -15.87, -17.25, -18.63, -20.01, -21.39, -22.77, -24.15, -25.53, -26.91, -28.29, -29.67, -31.05, -32.43, -33.81, -35.19, -36.57, -37.95, -39.33, -40.71, -42.09, -43.47, -44.85, -46.23, -47.61, -48.99, -50.37, -51.75, -53.13, -54.51, -55.89, -57.27, -58.65, -60.03, -61.41, -62.79, -64.17, -65.55, -66.93, -68.31


1, 0.126, 0, 0,  -59675.329,  -226.612,  -402.758,  -449.112,  -474.433,  -494.206,  -511.757,  -529.633,  -548.631,  -568.542,  -589.653,  -609.362,  -626.871,  -642.246,  -654.984,  -666.089,  -675.286,  -684.031,  -692.661,  -701.447,  -709.881,  -717.335,  -723.477,  -727.724,  -730.041,  -730.889,  -730.219,  -728.562,  -726.895,  -725.073,  -724.247,  -722.81,  -721.393,  -718.464,  -715.118,  -710.465,  -705.915,  -700.825,  -696.025,  -692.447,  -689.37,  -687.185,  -684.372,  -682.282,  -679.089,  -675.107,  -671.151,  -666.555,  -663.24,  -661.203,  -660.12,  -659.965,  -659.933,  -659.105,  -657.67,  -655.697,  -653.023,  -650.739,  -649.5,  -649.113,  -649.505,  -650.456,  -651.421,  -651.892,  -651.941,  -651.767,  -651.517,  -651.658,  -653.094,  -656.245,  -661.119,  -667.651,  -676.676,  -690.331,  -704.563,  -716.082,  -718.683,  -712.717,  -697.513,  -675.691,  -649.903,  -621.111,  -591.539,  -561.69,  -532.152,  -503.333,  -475.114,  -447.529,  -421.224,  -395.315,  -369.175,  -343.664,  -317.252,  -290.896,  -263.896,  -237.186,  -210.505,  -183.879,  -157.435,  -130.426,  -111.052
1, 0.126, 3, 0,  -60380.09,  -218.565,  -397.344,  -450.07,  -475.012,  -494.034,  -510.846,  -528.014,  -546.329,  -566.567,  -587.839,  -608.549,  -627.514,  -644.406,  -658.669,  -671.04,  -681.837,  -691.994,  -701.211,  -710.506,  -719.685,  -727.39,  -733.891,  -738.657,  -741.538,  -742.233,  -741.677,  -740.145,  -737.77,  -736.501,  -734.794,  -734.177,  -732.251,  -730.182,  -726.54,  -722.537,  -717.414,  -712.637,  -707.846,  -704.303,  -701.56,  -699.261,  -696.89,  -694.488,  -691.505,  -687.769,  -683.733,  -679.681,  -676.827,  -675.025,  -674.189,  -674.131,  -674.098,  -673.403,  -672.135,  -670.373,  -668.058,  -666.16,  -665.168,  -664.713,  -665.014,  -665.918,  -666.765,  -667.614,  -668.223,  -668.275,  -668.205,  -668.413,  -669.753,  -672.693,  -677.738,  -684.901,  -695.198,  -709.88,  -723.86,  -732.785,  -732.67,  -722.841,  -704.122,  -679.355,  -651.488,  -621.47,  -590.715,  -560.271,  -530.187,  -500.968,  -471.75,  -443.835,  -417.069,  -390.897,  -365.111,  -339.155,  -312.756,  -285.621,  -258.707,  -231.319,  -204.123,  -176.828,  -148.973,  -119.531,  -73.412
1, 0.126, 4, 0,  -60674.968,  -216.764,  -389.387,  -442.11,  -467.853,  -487.918,  -506.098,  -524.523,  -543.879,  -564.749,  -586.66,  -607.825,  -627.109,  -644.146,  -658.805,  -671.426,  -682.586,  -693.049,  -702.694,  -712.148,  -721.542,  -729.647,  -736.376,  -741.212,  -744.279,  -745.131,  -744.655,  -743.407,  -741.29,  -739.963,  -738.486,  -737.702,  -735.985,  -733.854,  -730.461,  -726.461,  -721.579,  -716.824,  -712.156,  -708.667,  -705.997,  -703.925,  -702.091,  -699.784,  -697.055,  -693.808,  -689.986,  -686.178,  -683.367,  -681.753,  -681.282,  -681.504,  -681.581,  -681.017,  -679.914,  -678.325,  -676.252,  -674.501,  -673.512,  -673.053,  -673.354,  -674.36,  -675.342,  -676.164,  -676.743,  -676.823,  -676.677,  -676.88,  -678.203,  -681.041,  -685.959,  -693.243,  -704.018,  -718.769,  -732.35,  -740.386,  -739.075,  -727.882,  -708.078,  -682.534,  -653.972,  -623.558,  -592.315,  -561.574,  -531.019,  -501.343,  -471.807,  -443.917,  -416.58,  -390.246,  -364.174,  -338.341,  -311.752,  -284.738,  -257.464,  -230.124,  -202.62,  -174.751,  -146.089,  -115.493,  -60.921
1, 0.126, 5, 0,  -60910.467,  -211.549,  -377.143,  -431.156,  -458.567,  -479.888,  -499.281,  -518.617,  -538.421,  -559.968,  -582.793,  -604.56,  -624.242,  -641.676,  -656.762,  -670.16,  -681.899,  -692.882,  -702.946,  -713.107,  -722.54,  -730.798,  -737.679,  -742.544,  -745.803,  -747.022,  -746.604,  -745.069,  -743.189,  -741.844,  -740.951,  -740.195,  -738.892,  -736.861,  -734.008,  -730.341,  -726.097,  -721.545,  -717.412,  -714.22,  -712.09,  -710.14,  -708.604,  -706.592,  -704.018,  -701.111,  -697.551,  -694.215,  -691.788,  -690.378,  -689.965,  -690.058,  -689.906,  -689.185,  -687.912,  -686.15,  -684.137,  -682.486,  -681.508,  -681.048,  -681.194,  -681.938,  -682.681,  -683.18,  -683.368,  -683.281,  -683.046,  -683.319,  -684.816,  -687.78,  -692.669,  -699.986,  -711.189,  -725.848,  -738.955,  -745.892,  -743.321,  -730.949,  -710.163,  -683.865,  -654.867,  -624.141,  -592.389,  -561.463,  -530.65,  -500.678,  -471.302,  -443.962,  -416.755,  -391.074,  -365.124,  -339.458,  -312.871,  -285.862,  -258.529,  -231.096,  -203.166,  -174.47,  -144.91,  -112.823,  -49.364
1, 0.126, 6, 0,  -61267.59,  -203.083,  -361.181,  -419.386,  -448.944,  -471.29,  -491.448,  -511.36,  -532.042,  -554.448,  -577.603,  -599.959,  -620.418,  -638.907,  -654.696,  -668.236,  -680.207,  -691.412,  -701.945,  -712.667,  -722.861,  -731.628,  -738.902,  -744.223,  -747.724,  -749.039,  -748.908,  -747.383,  -745.884,  -744.876,  -744.749,  -744.785,  -744.185,  -742.944,  -740.688,  -737.339,  -732.965,  -728.377,  -724.898,  -722.17,  -720.793,  -719.24,  -718.135,  -716.212,  -713.381,  -710.453,  -706.776,  -703.599,  -701.373,  -699.875,  -699.136,  -698.971,  -698.685,  -697.876,  -696.538,  -694.583,  -692.365,  -690.553,  -689.471,  -689.061,  -689.199,  -689.835,  -690.511,  -690.945,  -691.039,  -691.008,  -690.777,  -690.955,  -692.527,  -695.577,  -700.498,  -707.771,  -718.981,  -733.188,  -745.421,  -751.143,  -747.214,  -733.908,  -712.036,  -685.71,  -656.889,  -626.985,  -596.424,  -566.151,  -535.978,  -505.945,  -476.887,  -449.609,  -422.428,  -396.805,  -370.851,  -344.745,  -317.849,  -290.528,  -262.518,  -234.69,  -206.299,  -177.154,  -146.956,  -115.282,  -37.535
1, 0.126, 7, 0,  -61614.26,  -189.915,  -342.05,  -406.814,  -439.026,  -462.238,  -482.992,  -503.305,  -524.505,  -547.43,  -571.456,  -594.696,  -615.762,  -634.849,  -650.998,  -664.908,  -677.651,  -688.904,  -699.796,  -711.004,  -721.87,  -731.77,  -740.207,  -746.539,  -750.888,  -753.018,  -753.729,  -753.241,  -752.781,  -752.533,  -752.674,  -752.801,  -752.215,  -751.035,  -748.484,  -745.15,  -740.85,  -736.325,  -732.574,  -729.497,  -727.896,  -726.114,  -724.973,  -723.223,  -720.235,  -717.129,  -713.195,  -709.781,  -707.633,  -706.675,  -706.559,  -706.774,  -706.55,  -705.602,  -703.979,  -701.615,  -699.046,  -696.834,  -695.301,  -694.781,  -695.047,  -695.788,  -696.564,  -696.909,  -696.674,  -696.305,  -695.64,  -695.21,  -696.069,  -698.56,  -703.183,  -710.615,  -722.74,  -738.069,  -751.087,  -757.248,  -753.572,  -740.314,  -718.478,  -692.997,  -665.225,  -636.209,  -606.126,  -575.516,  -545.19,  -514.746,  -485.794,  -458.389,  -431.029,  -404.903,  -378.276,  -351.329,  -323.563,  -295.539,  -266.999,  -238.636,  -209.863,  -180.468,  -149.666,  -118.233,  -27.117
1, 0.126, 9, 0,  -62396.262,  -156.476,  -312.931,  -388.27,  -425.038,  -449.33,  -470.077,  -490.807,  -512.536,  -537.091,  -562.714,  -587.257,  -609.499,  -629.384,  -646.668,  -661.677,  -675.095,  -687.521,  -699.654,  -712.15,  -724.038,  -735.375,  -745.014,  -751.7,  -756.337,  -758.767,  -759.656,  -760.204,  -761.207,  -762.816,  -765.186,  -766.327,  -766.75,  -765.447,  -763.276,  -759.297,  -754.702,  -749.807,  -745.795,  -742.876,  -741.389,  -740.081,  -738.465,  -736.222,  -732.281,  -727.719,  -722.618,  -718.231,  -715.133,  -713.355,  -712.301,  -711.425,  -710.263,  -708.702,  -706.746,  -704.269,  -701.845,  -699.945,  -698.86,  -698.945,  -699.706,  -700.58,  -701.689,  -702.821,  -703.889,  -705.402,  -707.304,  -709.838,  -713.697,  -719.183,  -726.771,  -737.142,  -751.535,  -767.709,  -780.332,  -785.477,  -780.363,  -766.349,  -744.467,  -718.934,  -691.581,  -662.842,  -632.561,  -601.026,  -569.239,  -537.176,  -507.1,  -478.036,  -448.958,  -420.222,  -391.369,  -362.208,  -332.867,  -303.281,  -273.364,  -243.533,  -212.972,  -182.072,  -149.792,  -108.94,  -16.383
